id,hex,r,g,b
0,#000000,0,0,0
1,#aec7e8,206,80,0
2,#708090,140,162,82
3,#1f77b4,31,119,180
4,#17e511,23,229,17
5,#98df8a,152,223,138
6,#2ca02c,44,160,44
7,#ff7f0e,255,127,14
8,#17becf,23,190,207
9,#c5b0d5,197,176,213
10,#ffbf51,255,191,81
11,#393b79,57,59,121
12,#d62728,214,39,40
13,#a55194,165,81,148
14,#f7b6d2,247,182,210
15,#2f2bdc,47,43,220
16,#8c564b,140,86,75
17,#de9ed6,222,158,214
18,#9467bd,148,103,189
19,#bcbd22,188,189,34
20,#dbdb8d,219,219,141
21,#9edae5,158,218,229
22,#ce6dbd,206,109,189
23,#9c9ede,156,158,222
24,#5254a3,82,84,163
25,#6b6ecf,107,110,207
25,#d6616b,214,97,107
26,#637939,99,121,57
27,#8ca252,140,162,82
28,#ad494a,173,73,74
29,#bd9e39,189,158,57
30,#c7c7c7,199,199,199
31,#e7cb94,231,203,148
32,#e7ba52,231,186,82
33,#e7969c,231,150,156
34,#843c39,132,60,57
35,#b5cf6b,181,207,107
